source,public_time,content,topic,sensitive_word,theme,id,up_num,retweet_num,comment_num,nickname,sex,province,following,followed,publish_place,publish_tool
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:42,快活林杂谈:分享网易新闻《1天3条坏消息传到白宫！特朗普秘密电话遭曝光，哈里斯当众嘲讽》 1天3条坏消息传到白宫！特朗普秘密电话遭曝光，哈里斯当众嘲讽 来自@网易新闻客户端 #网易新闻#  原图 ,网易新闻,   特朗普,网易新闻,JBEHpvGkk,0,0,0,快活林杂谈,男,河南,623,10165,无,网易新闻客户端
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:41,Jasmine5203:特朗普下台如果实在找不到想做的，可以试试来给英语四六级听力录音。考试立马变得so easy  ,,   特朗普,,JBEH3CypY,0,0,0,Jasmine5203,女,海外,357,400,无,iPhone 7
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:41,"合肥在线:【国防部新闻发言人任国强就美通过“2021财年国防授权法案”答记者问】问：据媒体报道，当地时间1月1日，美方审议通过包含多项涉华条款的“2021财年国防授权法案”。该法案提出制定“全政府对华战略”和实施“太平洋威慑倡议”应对中国军力发展，支持继续向台湾售武，在涉港、涉疆问题上坚持既有干涉立场。此外，美总统特朗普近日还签署“2021财年综合拨款法案”,要求美政府常态化对台军售，进一步支持台湾参加国际组织等。请问对此有何评论？答：上述法案涉华内容固守冷战思维，炒作所谓“中国军事威胁”，鼓噪中美战略竞争，公然背离国际关系基本准则，粗暴干涉中国内政，严重违反一个中国原则和中美三个联合公报规定，严重破坏中美两国两军关系发展，严重损害中国主权、安全、发展利益，中方对此坚决反对，并向美方提出严正交涉。中国始终坚持走和平发展道路，秉持共同、综合、合作、可持续的安全观，坚定奉行防御性国防政策和积极防御的军事战略，坚持做世界和平的建设者、全球发展的贡献者、国际秩序的维护者。近年来，中国军队在国际维和、远海护航、人道主义救援减灾等领域提供了越来越多的公共安全产品。特别是新冠肺炎疫情发生以来，中国军队积极开展抗疫国际合作，为服务构建人类卫生健康共同体贡献力量。事实充分证明，中国军队的发展，给世界各国人民带来的不是威胁和挑战，而是安全与希望，中国军队始终是维护世界和平的坚定力量。美方出于一己私利，鼓吹实施“太平洋威慑倡议”，不断加强在亚太地区军事存在，渲染军事竞争，推动军事对抗，暴露了其一贯的霸权主义本质，只会加剧地区紧张，危害世界和平，最终也必将损害美方自身利益。台湾、香港、新疆等问题事关中国主权和领土完整，纯属中国内政，不容任何外部势力干涉。中方维护国家主权、安全、发展利益的决心坚定不移。需要强调的是，台湾是祖国神圣不可分割的领土。美方无论以何种方式“以台制华”，注定是痴心妄想。我们坚决反对任何国家与台湾开展任何形式的官方往来和军事联系，决不允许任何人、任何组织、任何政党在任何时候、以任何形式、把任何一块中国领土从中国分裂出去。中国人民解放军将采取一切必要措施，坚决捍卫国家主权和领土完整。我们敦促美方顺应和平与发展的时代潮流，摒弃冷战思维和零和博弈观念，客观看待中国和中国军队建设发展，立即停止干涉中国内政，不得实施法案中有关涉华条款。我们也期待美方与中方相向而行，共同维护中美两国两军关系大局，维护世界和平与稳定。（总台央视记者 苏洲） ",,   特朗普,,JBEH0oKlU,0,0,0,合肥在线,男,安徽,336,1289717,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:40,正人力天:【美被曝欲减半疫苗剂量以加速接种】石家庄疫情 1月3日，据外媒报道，美国政府被曝考虑给部分人接种剂量减半的莫德纳疫苗，以加速疫苗接种速度。美国食药局和莫德纳公司尚未进行回应。报道称，特朗普政府曾承诺在2020年底前为2000万人接种，但目前仅420多万人接种首剂新冠疫苗，拜登曾批评按此速度，全美接种疫苗将需数年。http://t.cn/A6qukMma ,,   特朗普,,JBEGQ29lG,0,0,0,正人力天,男,陕西,117,63967,无,iPhone XS Max
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:40,"娇艳baffle:#扫黑除恶,打击黑恶势力保护伞##扫黑除恶举报平台##举报中心提醒##深圳爆料##扫黑除恶#@深圳微博发布厅 深圳市府委415两死一伤惨案发生在闹市你们不思过？ 公安消防失职渎职，给你们市府市委信访办访信不敢回，人民网新浪官微不敢回应，无视党纪国法，作为政府的代言办事机构，你们初心何在？特朗普的政府？@广东检察 扫除深圳市府黑恶势力  每日名言|惠蒂尔：正义是苦难者的希望和犯罪者的畏惧之所在 http://t.cn/A6q4fETW 原图 ",扫黑除恶,   特朗普,扫黑除恶,JBEGGgZyT,0,0,0,娇艳baffle,女,内蒙古,1343,1435,无,学习强国客户端
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:40,新盟财讯:【特朗普最新电话录音曝光！他还在施压佐治亚州官员“找出11780张选票”，求改变败选结果】#特朗普电话录音曝光#“‘我只想找到11780张选票’：在长约一小时非同寻常的通话中，特朗普施压佐治亚州州务卿要求重新计票，以对他有利”。《华盛顿邮报》当地时间3日以此为题的报道称，该报得到的电话录音显示，总统特朗普在2日与佐治亚州州务卿布拉德·拉芬斯珀格通了电话，要求后者找到足够的选票以推翻该州的选举结果。在电话中，特朗普还威胁拉芬斯珀格如果不这样做将面临潜在的刑事诉讼，承担“重大风险”。但后者拒绝了特朗普。http://t.cn/A6quN3Ez ,特朗普电话录音曝光,   特朗普,特朗普电话录音曝光,JBEGxbQFP,0,0,0,新盟财讯,男,北京,333,390605,无,iPhone客户端
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:39,快活林杂谈:分享网易新闻《美国将有“毁灭性后果”？特朗普收到直白警告，拜登果然是狠角色》 美国将有“毁灭性后果”？特朗普收到直白警告，拜登果然是狠角色 来自@网易新闻客户端 #网易新闻#  原图 ,网易新闻,   特朗普,网易新闻,JBEGqmQWe,0,0,0,快活林杂谈,男,河南,623,10165,无,网易新闻客户端
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:39,参考消息:#参考封面秀#【如何防止下一场疫情？】美国《民族》周刊1月4日刊文称，如何防止下一场全球大流行？全球科学家认为，“同一个健康”模式能够抵御下一场瘟疫的暴发。“同一个健康”基于这样一种认定：人类命运、动物命运、我们所有生物所依赖的生态系统的命运是紧密相连的。“同一个健康”是针对特朗普政府反科学思潮的强效解药，也是对21世纪公共卫生的前沿展望。“同一个健康”的倡导者说，为了预防比新冠肺炎更严重的疫情，这项运动是最后希望，也是最佳希望之一。 原图 ,参考封面秀,   特朗普,参考封面秀,JBEGovYBm,2,0,2,参考消息,男,北京,135,13518194,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:37,网络传播研究:【谁在制造微博热搜】整个2020年，微博共产生了10万条热搜，其中有1.6万条进过热搜榜前十。在这特殊的一年里，热搜榜上的常客只有三类人：抗疫专家、明星网红和特朗普。十万热搜中，有近四成来自社会热点事件，纯明星类的热搜数量占总数的一成还不到，在有关明星的热搜下，粉丝账号的比例特别高。via：@澎湃美数课 [组图共5张] 原图 ,,   特朗普,,JBEFGui3s,3,2,0,网络传播研究,男,江苏,557,185459,无,无
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=+++%E7%89%B9%E6%9C%97%E6%99%AE&advancedfilter=1&starttime=2020-12-05-12&endtime=2021-01-03-13&sort=time&page=1,2021-01-04 20:37,重庆大足法院:【#特朗普称将举行大型集会阻止拜登当选#】美国新一届国会将于1月6日召开联合会议，正式清点选举人票，并宣布2020#美国大选#获胜者。为阻止国会正式认证民主党人拜登当选，特朗普近日称，将于当地时间6日在华盛顿举行“大型抗议集会”。目前已有数万名报名者。此举遭到华盛顿警方和美国疾控中心强烈反对↓ http://t.cn/A6q3zRBt ,美国大选,   特朗普,美国大选,JBEFvznl5,0,0,0,重庆大足法院,男,重庆,279,29012,无,nova5Pro人像超级夜景
