source,public_time,content,topic,url
百家号,2021-01-04,"当地时间3日,《华盛顿邮报》爆料,美国总统特朗普在当地时间2日的一次长达一个小时的“非同寻常”通话中,催促佐治亚州务卿拉芬斯佩格“找到”足够数量的选票推翻大选...","特朗普版“水门事件”曝光,1小时电话非同寻常",https://baijiahao.baidu.com/s?id=1687921693070468533&wfr=spider&for=pc
百家号,2021-01-04,"“‘我只想找到11780张选票’:在长约一小时非同寻常的通话中,特朗普施压佐治亚州州务卿要求重新计票,以对他有利”。《华盛顿邮报》当地时间3日以此为题的报道称...",特朗普秘密电话被曝光!他还在……,https://baijiahao.baidu.com/s?id=1687913353244274402&wfr=spider&for=pc
腾讯网,2021-01-04,"此次,特朗普否决的2021财年《国防授权法案》遭到推翻,表明《国防授权法案》将会在没有特朗普的签名下成为法律,该法案也是特朗普在总统任期内否决的9项法案中,也是...",特朗普任内否决权首次被国会推翻,https://new.qq.com/omn/20210104/20210104A03LJ000.html
澎湃新闻,2021-01-04,"综合多家美媒报道,当地时间1月3日,特朗普与佐治亚州州务卿布拉德·拉芬斯珀格等人于1月2日进行的一场电话会议的录音被曝光。在录音中,特朗普向同为共和党人的拉芬...","特朗普的秘密电话,第二天就被泄露",http://www.thepaper.cn/newsDetail_forward_10647937
腾讯网,2021-01-04,"距离国会清点选举人票的时间越来越近了,与此同时,被美方杀害的苏莱曼尼的忌日也到来了,据CNN报道,特朗普计划提前从海湖庄园返回美国首都华盛顿。看来特朗普是无心过...","这是要回去“决战”了?特朗普直接结束假期,美媒:极不寻常",https://new.qq.com/omn/20210104/20210104A05KAA00.html
百家号,2021-01-04,"据海外网2021年1月2日报道,当地时间1月1日,美国会参议院以81票支持、13票反对的高票投票结果,通过了推翻特朗普对《国防授权法案》的否决。 据悉,特朗普在总统...","81票高票通过,特朗普否决权首次被推翻!同时拜登收到一糟糕消息",https://baijiahao.baidu.com/s?id=1687920776073555401&wfr=spider&for=pc
网易新闻,2021-01-04,"12月31日,美国总统特朗普提前结束度假返回白宫后发表了年终视频讲话,吹嘘了他的政府在迅速开发新冠肺炎疫苗和重建经济方面的工作,并称他所做的一切应被人们铭记。据...",提前回白宫就为这?特朗普发视频自夸:我所做的一切应被铭记,http://dy.163.com/article/FVGBUCQ80528OD94.html
百家号,2021-01-04,"“‘我只想找到11780张选票’:在长约一小时非同寻常的通话中,特朗普施压佐治亚州州务卿要求重新计票,以对他有利”。《华盛顿邮报》当地时间3日以此为题的报道称...",一盘特朗普秘密录音带被曝光!他还在……,https://baijiahao.baidu.com/s?id=1687919017372011133&wfr=spider&for=pc
百家号,2021-01-04,"美国总统特朗普也终于想起了国内的疫情状况,开始对国内疫情指手画脚。可他一张嘴,就是对美国疫情现状的指责和不满,还总是把问题甩锅给中国。 在此之前,特朗普曾...","每天上千人死亡,特朗普还怒斥女婿增加病毒检测量:都是你害了我",https://baijiahao.baidu.com/s?id=1687933882563850480&wfr=spider&for=pc
手机凤凰网,2021-01-04,"【环球时报驻美国特约记者 林日 环球时报特约记者 任重】“1月6日,华盛顿见。”共和党党内忠粉的支持再次点燃了美国总统特朗普推翻大选结果的希望。在佛罗里达的海湖...",特朗普忠粉欲“翻盘” 拜登过渡团队:改变不了事实,http://news.ifeng.com/c/82kSUioLymj
